Drug_Name,Reason,Description,Company_Name,NSE_Symbol,Rating
Victoza 6mg/Ml Pen(Prefilled) 3ml,Diabetes,reduces the diabetes,Ipca Laboratories Ltd.,IPCALAB,I
Vigocil 0.2mg Tablet 10'SVigocil 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Vigocil M 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Vingose 0.3mg Tablet 10'SVingose 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Vingosemet 0.2/500mg Tablet 10'SVingosemet 0.3/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Vivamet 2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Dr. Reddys Laboratories Ltd.,DRREDDY,R
VMF SR 0.3/500mg Tablet 10'SVMF SR 0.2/500mg Tablet 10'S,Diabetes,reduces the diabetes,Divis Laboratories Ltd.,DIVISLAB,D
Vobit 0.2mg Tablet 15'SVobit 1mg Tablet 10'SVobit 0.3mg Tablet 10'SVobit 0.3mg Tablet 15'SVobit 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Cipla Ltd.,CIPLA,C
Vobit H 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Biocon Ltd.,BIOCON,B
Vobit M 0.3mg Tablet 10'SVobit M 0.2mg Tablet 15'SVobit M 0.3mg Tablet 15'S,Diabetes,reduces the diabetes,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Vobit MD 0.2mg Tablet 10'SVobit MD 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Vobose 0.3mg Tablet 10'SVobose 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Lupin Ltd.,LUPIN,L
Vobose M 0.2mg Tablet 10'SVobose M 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,Cadila Healthcare Ltd.,CADILAHC,CA
Vocarb 0.2mg Tablet 10'SVocarb 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Abbott India Ltd.,ABBOTINDIA,ABB
Vocarb MF 0.3mg Tablet 10'SVocarb MF 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Alkem Laboratories Ltd.,ALKEM,AL
Vodis 0.3Mg Tablet 10'sVodis 0.2Mg Tablet 10's,Diabetes,reduces the diabetes,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Vodis Mf 0.2Mg Tablet 10's,Diabetes,reduces sugar level diabetes,Ipca Laboratories Ltd.,IPCALAB,I
Vofid 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
VOFON 0.2mg Tablet 10'sVOFON 0.3mg Tablet 10's,Diabetes,reduces the diabetes,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Voglase 0.3mg Tablet 10'SVoglase 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Voglase M 0.2/500mg Tablet 10'SVoglase M 0.3/500mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Voglem 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Voglem M 0.2/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Divis Laboratories Ltd.,DIVISLAB,D
Vogli 0.2mg Tablet 10'SVogli 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Cipla Ltd.,CIPLA,C
Vogli Gm1 Tablet 10'S,Diabetes,reduces the diabetes,Biocon Ltd.,BIOCON,B
Vogli Gm1 Forte Tablet 10'S,Diabetes,reduces sugar level diabetes,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Vogli Gm2 Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Vogli Gm2 Forte Tablet 10'S,Diabetes,reduces the diabetes,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Vogli M 0.2mg Tablet 10'SVogli M 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Vogli Rapid 0.3/1.0mg Tablet 10'SVogli Rapid 0.3/0.5mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Divis Laboratories Ltd.,DIVISLAB,D
Vogli Rapid M 0.5mg Tablet 10'SVogli Rapid M 1mg Tablet 10'S,Diabetes,reduces the diabetes,Cipla Ltd.,CIPLA,C
Voglitrio 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Biocon Ltd.,BIOCON,B
Voglibite 0.3mg Tablet 10'SVoglibite 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Aurobindo Pharma Ltd.,AUROPHARMA,AU
Voglibite GM 1mg Tablet 10'SVoglibite Gm 1/0.3Mg Tablet 10's,Diabetes,reduces the diabetes,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Voglibite GM 2 Tablet 10'S,Diabetes,reduces sugar level diabetes,Lupin Ltd.,LUPIN,L
Voglibite M 0.3mg Tablet 10'SVoglibite M 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Cadila Healthcare Ltd.,CADILAHC,CA
Voglibose 0.3mg Tablet 10Voglibose 0.2mg Tablet 10,Diabetes,reduces the diabetes,Abbott India Ltd.,ABBOTINDIA,ABB
Vogliboz 0.2mg Tablet 10'SVogliboz 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Alkem Laboratories Ltd.,ALKEM,AL
Voglicad 0.2mg Tablet 10'SVoglicad 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Voglicad M 0.3mg Tablet 10'SVoglicad M 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,Ipca Laboratories Ltd.,IPCALAB,I
Voglicip 0.2mg Tablet 10'SVoglicip 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Voglidase 0.3mg Tablet 10'SVoglidase 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Voglidase M Tablet 10'S,Diabetes,reduces the diabetes,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Voglidase M Forte Tablet 10'S,Diabetes,reduces sugar level diabetes,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Voglider 0.2mg Tablet 10'SVoglider 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Voglifin 0.3mg Tablet 10'SVoglifin 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,Divis Laboratories Ltd.,DIVISLAB,D
Voglifin GM 1mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Cipla Ltd.,CIPLA,C
Voglifin M 0.2mg Tablet 10'SVoglifin M 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Biocon Ltd.,BIOCON,B
Vogligem M 0.2/500mg Tablet 10'SVogligem M 0.3/500mg Tablet 10'S,Diabetes,reduces the diabetes,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Vogligem Omt 0.3mg Tablet 10'SVogligem Omt 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Vogligress 0.3mg Tablet 10'SVogligress 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Lupin Ltd.,LUPIN,L
Vogligress M 0.3mg Tablet 10'SVogligress M 0.2/500mg Tablet 10'S,Diabetes,reduces the diabetes,Cadila Healthcare Ltd.,CADILAHC,CA
Voglikem 0.2mg Tablet 10'SVoglikem 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Abbott India Ltd.,ABBOTINDIA,ABB
Voglikem M 0.3mg Forte Tablet 10'SVoglikem M 0.2mg Tablet 10'SVoglikem M 0.2mg Forte Tablet 10'SVoglikem M 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Alkem Laboratories Ltd.,ALKEM,AL
Voglimac 0.2mg Tablet 10'SVoglimac Gm1 HD Tablet 10'SVoglimac 0.3mg Tablet 10'SVoglimac Gm2 HD Tablet 10'S,Diabetes,reduces the diabetes,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Voglimac GM 2/500/0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Ipca Laboratories Ltd.,IPCALAB,I
Voglimac Gm1 Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Voglimac Gm2 Tablet 10'S,Diabetes,reduces the diabetes,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Voglimac MF 0.3mg Tablet 10'SVoglimac MF 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Voglimed 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Voglimet GM Tablet 10'S,Diabetes,reduces the diabetes,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Voglimet MD 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Divis Laboratories Ltd.,DIVISLAB,D
Voglinorm 0.2mg Tablet 10'SVoglinorm 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Cipla Ltd.,CIPLA,C
Voglinorm GM 2/500/0.3mg Tablet 10'SVoglinorm GM 2mg Tablet 15'SVoglinorm GM 1/500/0.3mg Tablet 10'SVoglinorm GM 1mg Tablet 15'S,Diabetes,reduces the diabetes,Biocon Ltd.,BIOCON,B
Voglinorm GM Forte 2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Voglinorm GM SR 0.2/500/2mg Tablet 10'SVoglinorm GM SR 0.2/500/1mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Voglinorm M 0.3mg Tablet 10'SVoglinorm M 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,Lupin Ltd.,LUPIN,L
Voglinova 0.3mg Tablet 10'SVoglinova 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Cadila Healthcare Ltd.,CADILAHC,CA
Voglipack 0.3mg Tablet 10'SVoglipack 0.2mg Tablet 30'SVoglipack 0.2mg Tablet 10'SVoglipack 0.3mg Tablet 30'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Abbott India Ltd.,ABBOTINDIA,ABB
Voglipack M 0.2/500mg Tablet 30'SVOGLIPACK M 0.3/500mg Tablet 10'sVoglipack M 0.2/500mg Tablet 10'S,Diabetes,reduces the diabetes,Alkem Laboratories Ltd.,ALKEM,AL
Voglisoor GM 2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Voglistar MD 0.2mg Tablet 10'SVoglistar MD 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Ipca Laboratories Ltd.,IPCALAB,I
Voglistar GM 1mg Tablet 10'SVoglistar GM 2mg Tablet 10'S,Diabetes,reduces the diabetes,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Voglistar Plus 0.3mg Tablet 10'SVoglistar Plus 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Voglitab 0.3mg Tablet 15'SVoglitab M 0.3mg Tablet 10'SVoglitab 0.2mg Tablet 15'SVoglitab 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Voglitab M 0.2mg Tablet 15'SVoglitab M 0.3mg Tablet 15'SVoglitab M 0.2/500mg Tablet 10'SVoglitab M 0.3/500mg Tablet 10'S,Diabetes,reduces the diabetes,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Voglitab MD 0.2mg Tablet 10'SVoglitab MD 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Voglital 0.3mg Tablet 10'SVoglital 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Divis Laboratories Ltd.,DIVISLAB,D
Voglital GM 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,Cipla Ltd.,CIPLA,C
Voglital M 0.3/500mg Tablet 10'SVoglital M 0.2/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Biocon Ltd.,BIOCON,B
Voglitor MD 0.3mg Tablet 10'SVoglitor MD 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Aurobindo Pharma Ltd.,AUROPHARMA,AU
Voglitor MF 0.2mg Tablet 10'SVoglitor MF 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Voglitor MF Forte 0.2/1000mg Tablet 10'SVoglitor MF Forte 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Lupin Ltd.,LUPIN,L
Voglitrio 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Cadila Healthcare Ltd.,CADILAHC,CA
VOGLIVE Tablet 10's,Diabetes,reduces the diabetes,Abbott India Ltd.,ABBOTINDIA,ABB
VOGLIWIN 0.3mg Tablet 10's,Diabetes,reduces sugar level diabetes,Alkem Laboratories Ltd.,ALKEM,AL
Vogliwok 0.2mg Tablet 10'SVogliwok 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Voglow 0.3mg Tablet 10'SVoglow 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,Ipca Laboratories Ltd.,IPCALAB,I
Voglow GM 1/500/0.2mg Tablet 10'SVoglow GM 2/500/0.2mg Tablet 10'SVoglow GM 0.3/500/3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Voglow GM Forte 1/1000/0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Voglow M 0.3/500mg Tablet 10'SVoglow M 0.2/500mg Tablet 10'S,Diabetes,reduces the diabetes,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Vogloyd 0.2mg Tablet 10'SVogloyd 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Vogloyd 3D 2/500/0.2mg Tablet 10'SVogloyd 3D 2.3 Forte Tablet 15'SVogloyd 3D 2/500/0.3mg Tablet 10'SVogloyd 3D 1/500/0.2mg Tablet 15'SVogloyd 3D 2.3 Tablet 15'SVogloyd 3D 1/500/0.3mg Tablet 15'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Vogloyd 3D 2.2 Tablet 15'S,Diabetes,reduces the diabetes,Divis Laboratories Ltd.,DIVISLAB,D
Vogloyd 3D Forte 1.2mg Tablet 15'SVogloyd 3D Forte 2.2mg Tablet 15'SVogloyd 3D Forte 1.3mg Tablet 15'S,Diabetes,reduces sugar level diabetes,Cipla Ltd.,CIPLA,C
Vogloyd M 0.3/500mg Tablet 15'SVogloyd M 0.2/500mg Tablet 15'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Biocon Ltd.,BIOCON,B
Vogloyd M 0.2 Forte Tablet 15's,Diabetes,reduces the diabetes,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Vogloyd M 0.3 Forte Tablet 15'S,Diabetes,reduces sugar level diabetes,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Voglus 0.2mg Tablet 10'SVoglus 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Voglus GM 2mg Tablet 10'SVoglus GM 1mg Tablet 10'S,Diabetes,reduces the diabetes,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Voglus M Tablet 10'S,Diabetes,reduces sugar level diabetes,Divis Laboratories Ltd.,DIVISLAB,D
Voglyson 0.2mg Tablet 10'SVoglyson 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Cipla Ltd.,CIPLA,C
Voglyson GM 2mg Tablet 10'SVoglyson GM 1mg Tablet 10'S,Diabetes,reduces the diabetes,Biocon Ltd.,BIOCON,B
Voglyson M 0.3mg Tablet 15'SVoglyson M 0.2mg Tablet 15'S,Diabetes,reduces sugar level diabetes,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Vogo 0.3mg Tablet 10'SVogo 0.3mg Tablet 15'SVogo 0.2mg Tablet 15'SVogo 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Vogo M 0.3mg Tablet 10'SVogo M 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,Lupin Ltd.,LUPIN,L
Vogs 0.3mg Tablet 30'SVogs 0.2mg Tablet 10'SVogs 0.2Mg Tablet 30'sVogs 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Cadila Healthcare Ltd.,CADILAHC,CA
Vogs GM 2/0.3mg Tablet 10'SVogs GM 0.3/500/1mg Tablet 10'SVogs GM 1mg Tablet 10'SVogs Gm 1Mg Tablet 15'sVogs GM 2mg Tablet 10'SVogs GM 1/0.3mg Tablet 10'SVogs GM 2mg Tablet 15'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Abbott India Ltd.,ABBOTINDIA,ABB
Vogs M 0.2mg Tablet 10'SVogs M 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,Alkem Laboratories Ltd.,ALKEM,AL
Vogsite MD 0.2mg Tablet 10'SVogsite MD 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
VOGTID M 0.3/500mg Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Ipca Laboratories Ltd.,IPCALAB,I
Vogtid Md 0.3Mg Tablet 10's,Diabetes,reduces the diabetes,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Vogway GM 2/500/0.2mg Tablet 10'SVogway GM 1/500/0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Vogway M 0.3/500mg Tablet 10'SVogway M 0.2/500mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Volabay 0.2mg Tablet 10'SVolabay 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Volabay M 0.3mg Tablet 10'SVolabay M 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Volga 0.3mg Tablet 10'SVolga 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Divis Laboratories Ltd.,DIVISLAB,D
Volga M 0.2mg Tablet 10'SVolga M 0.3/500mg Tablet 10'S,Diabetes,reduces the diabetes,Cipla Ltd.,CIPLA,C
Volga R 0.5/0.3mg Tablet 10'SVolga R 1/3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Biocon Ltd.,BIOCON,B
Volga Trio 2/0.2mg Tablet 10'SVolga Trio 1/0.3mg Tablet 10'SVolga Trio 1/0.2mg Tablet 10'SVolga Trio 2/0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Aurobindo Pharma Ltd.,AUROPHARMA,AU
Volibo 0.2mg Tablet 10'SVolibo 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Volibo M 0.3mg Tablet 10'SVolibo M 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Lupin Ltd.,LUPIN,L
Volibo MD 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Cadila Healthcare Ltd.,CADILAHC,CA
Volibose M 0.3mg Tablet 10'S,Diabetes,reduces the diabetes,Abbott India Ltd.,ABBOTINDIA,ABB
Volicose 0.2mg Tablet 10'SVolicose 0.3mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Alkem Laboratories Ltd.,ALKEM,AL
Volicure 0.3mg Tablet 10'SVolicure 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Volicure M 0.2/500mg Tablet 10'SVolicure M 0.3/500mg Tablet 10'S,Diabetes,reduces the diabetes,Ipca Laboratories Ltd.,IPCALAB,I
Volicure Trio 1/500/0.2mg Tablet 10'SVolicure Trio 2/500/0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Voligraf 0.2mg Tablet 10'SVoligraf 0.3mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Voliphage 0.3mg Tablet 10'SVoliphage 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Voliphage M 0.3mg Tablet 10'SVoliphage M 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Volitaz MD 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Volix 0.2mg Tablet 10'SVolix CP 0.2mg Tablet 30'SVolix 0.3mg Tablet 15'SVolix 0.2mg Tablet 15'S,Diabetes,reduces the diabetes,Divis Laboratories Ltd.,DIVISLAB,D
Volix CP 0.3mg Tablet 30'S,Diabetes,reduces sugar level diabetes,Cipla Ltd.,CIPLA,C
Volix M 0.3mg Tablet 10'SVolix M 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Biocon Ltd.,BIOCON,B
Volix Trio 2mg Tablet 10'SVolix Trio 1mg Tablet 10'S,Diabetes,reduces the diabetes,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Volix Trio Forte 1mg Tablet 10'SVolix Trio Forte 2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Voloxia MD 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Lupin Ltd.,LUPIN,L
Voloxia M Tablet 10'S,Diabetes,reduces the diabetes,Cadila Healthcare Ltd.,CADILAHC,CA
Volpha M 0.3/500mg Tablet 10'SVolpha M 0.2/500mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Abbott India Ltd.,ABBOTINDIA,ABB
Volpha MD 0.3mg Tablet 10'SVolpha MD 0.2mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Alkem Laboratories Ltd.,ALKEM,AL
Volpost M 0.2mg Tablet 10'S,Diabetes,reduces the diabetes,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Volvo 0.3mg Tablet 10'SVolvo 0.2mg Tablet 10'S,Diabetes,reduces sugar level diabetes,Ipca Laboratories Ltd.,IPCALAB,I
Vomtas 0.3/500mg Tablet 4'SVomtas 0.2/500mg Tablet 10'S,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Voryl 1mg Tablet 10'SVoryl 2mg Tablet 10'S,Diabetes,reduces the diabetes,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
VORYL M 2mg Tablet 10'sVORYL M 1mg Tablet 10's,Diabetes,reduces sugar level diabetes,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
VORYL MV 2mg Tablet 10'sVORYL MV 1mg Tablet 10's,Diabetes,"treat type 2 diabetes mellitus when diet, physical exercise and weight reduction alone have not been able to control your blood sugar levels",Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
